Xnew Y W1new W2new
0.0496034718269367 0.813557715971467 0.400737166782668 0.835103809495851
0.703842333637848 0.283081288663408 0.277912465251632 0.295365410080875
0.673996085120426 0.246774368737722 0.248392536185965 0.243428891964574
0.482666632742316 0.228936034497027 0.251063351936514 0.208291478247444
0.705337156262436 0.236191644786255 0.244595361838831 0.216075590068554
0.865177485696205 0.245467778022711 0.247712563890947 0.231062630607713
0.861474185725806 0.191460312483241 0.18470265052035 0.233485341301112
0.912237410552387 0.101285980684216 0.0938961237381547 0.178098937175794
0.928282224079947 0.156725770054561 0.158323883822598 0.136040513381521
0.874397275179811 0.178492089944351 0.1767955065776 0.190303042892438
0.894747847377826 0.328014858210780 0.335992217955999 0.260199376228048
0.218878583126922 0.833437227135808 0.675398726743394 0.87772130679127
0.432116232629481 0.634195016335352 0.312536309104519 0.878952758583633
0.459788807108692 0.103304260611977 0.0747368246336499 0.127618801820071
0.236759602964125 0.600772259375258 0.129624664848812 0.746923744347484
0.158584563977678 0.783490867328327 0.216408128310676 0.890370970849503
0.504045810448005 0.269554891130005 0.374983429419515 0.162406258966039
0.669430165783054 0.380586941689577 0.448756937300397 0.242537287003807
0.9927109611331 0.456949559555773 0.457978223950693 0.316853390662819
0.864620981805383 0.393584034003593 0.420077086202562 0.224381678211914
