Xnew Y W1new W2
0.055008781828788 0.851337302707267 0.694495402895658 0.860467209612694
0.461945561639134 0.516444138351027 0.410947461681888 0.607018099051826
0.307936372270572 0.664570468127965 0.329605871559818 0.813614253371651
0.231427647157104 0.754848649921807 0.410414837325491 0.858562381694318
0.421442104760262 0.277386314866966 0.410591687593401 0.180354793719127
0.361288280777595 0.555279565028189 0.404151267952385 0.640765522126074
0.669430165783054 0.297334967718534 0.247712563890947 0.397824276126071
0.863599603782516 0.360457215016349 0.292508337935536 0.790665813757465
0.612558420806983 0.251149592875458 0.281379840443475 0.203354534974242
0.829933352935503 0.259616188611729 0.2766691793541 0.176396780052294
0.970721356336555 0.15968914594942 0.137201052728164 0.905272602754673
0.979602689367622 0.112041022405830 0.110386622078286 0.191495370057947
0.996088120348452 0.199475910946940 0.199306798478552 0.242537287003807
0.529869628712953 0.320816916252196 0.343398935295638 0.295365410080875
0.947505648203578 0.302741634664715 0.312756607859834 0.121974688426716
0.0496034718269367 0.247792351503631 0.370928900397051 0.241365559998361
0.712685775715688 0.317259039836954 0.395294395611495 0.123691567840181
0.298964164968907 0.629270972641946 0.0888112782932237 0.859755739819576
0.0628515599778933 0.152959202060791 0.367146359902858 0.138594351816482
0.70094071253603 0.421190829875866 0.291173554533426 0.725927734699472
